time;lognorm;type;scheme;T;backend
0.275979706;-225.2238256431468;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.258559418;-28.869849388981635;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.259031671;-259.76800833056893;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.259552409;-43.79653463672123;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.259734085;-178.91591940234625;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.25861784;-22.978312590822796;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.262803485;-84.34862814258061;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.260117646;-21.910340577748983;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.258920287;-195.81593759124624;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.258636072;-126.0093489677759;SAIS;SAIS{...}(4, 0.0:1.0:1.0);16;CPU
0.541604868;-50.90765354940006;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.533080539;-28.869849388981642;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.535032695;-82.0630133716831;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.534014154;-43.50339275071213;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.535013014;-178.91591940234625;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.535941737;-82.7394892665102;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.533922106;-84.34790211978685;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.533999969;-21.910340577748983;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.534725868;-134.6535874383169;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
0.537023576;-126.0093489677759;SAIS;SAIS{...}(5, 0.0:1.0:1.0);32;CPU
1.08455177;-34.292880359568336;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.084999153;-28.86983058908303;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.085645254;-60.37182281828432;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.088140153;-24.668151832990446;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.106217147;-55.672123404136535;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
1.086246608;-28.21053580528509;SAIS;SAIS{...}(6, 0.0:1.0:1.0);64;CPU
