job_seed,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type"
1,Unid,ZJA,Float32,1,0.000125576,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,2,0.000277603,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,4,0.000356189,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,8,0.002291156,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,16,0.003488044,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,32,0.004405638,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,64,0.010491509,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,128,0.020289434,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,256,0.039384654,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,512,0.265889696,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,1024,0.270813514,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,2048,0.353068199,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,4096,0.636981914,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,8192,1.232298763,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,16384,2.460808793,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,32768,4.942588864,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,65536,9.44483331,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,131072,17.867809819,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,262144,35.655917355,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,524288,71.550651305,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,1048576,141.051741447,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,2097152,281.561689801,"Unid",ZJA,CPU,"Float32"
1,Unid,ZJA,Float32,1,0.000919016,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,2,0.065875609,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,4,0.10208068,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,8,0.513962917,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,16,0.649134358,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,32,0.31846074,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,64,0.354114567,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,128,0.337379085,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,256,0.511372585,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,512,0.407836557,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,1024,1.541742333,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,2048,0.938576758,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,4096,0.735137098,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,8192,0.667843538,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,16384,0.731887451,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,32768,0.608678496,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,65536,0.727537217,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,131072,1.432027377,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,262144,1.208916227,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,524288,1.459922878,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,1048576,1.973927279,"Unid",ZJA,GPU,"Float32"
1,Unid,ZJA,Float32,2097152,2.206919557,"Unid",ZJA,GPU,"Float32"
2,Unid,ZJA,Float64,1,0.000130188,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,2,0.000279713,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,4,0.000805025,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,8,0.001062426,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,16,0.001965454,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,32,0.005139514,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,64,0.018033654,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,128,0.020509821,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,256,0.045657135,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,512,0.308130092,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,1024,0.287725433,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,2048,0.402773887,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,4096,0.813940322,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,8192,1.313048739,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,16384,2.781225621,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,32768,5.789669202,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,65536,11.827943153,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,131072,22.885796889,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,262144,46.36828611,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,524288,89.26248288,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,1048576,181.677004938,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,2097152,359.414380429,"Unid",ZJA,CPU,"Float64"
2,Unid,ZJA,Float64,1,0.000975677,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,2,0.066603149,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,4,0.255355678,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,8,0.246663143,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,16,0.317234413,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,32,0.629276348,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,64,0.847021558,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,128,0.509797019,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,256,0.674667014,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,512,0.766397003,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,1024,1.893289604,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,2048,0.97841907,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,4096,0.89499321,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,8192,0.899046197,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,16384,0.969088407,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,32768,0.857496163,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,65536,2.099848497,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,131072,1.99392336,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,262144,1.967918346,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,524288,3.102929215,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,1048576,2.980916424,"Unid",ZJA,GPU,"Float64"
2,Unid,ZJA,Float64,2097152,3.672957271,"Unid",ZJA,GPU,"Float64"
1,Unid,SAIS,Float32,1,0.000219144,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,2,0.000361778,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,4,0.00075258,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,8,0.174732031,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,16,0.002546728,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,32,0.004924457,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,64,0.009732403,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,128,0.019427654,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,256,0.039814647,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,512,0.08071342,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,1024,0.166217589,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,2048,0.319301013,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,4096,0.624541396,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,8192,1.241609708,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,16384,3.007653448,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,32768,5.713922874,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,65536,10.781728326,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,131072,20.572260941,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,262144,40.623574571,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,524288,80.423361749,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,1048576,161.050658903,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,2097152,321.852034665,"Unid",SAIS,CPU,"Float32"
1,Unid,SAIS,Float32,1,0.026928634,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,2,0.035957027,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,4,0.01398097,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,8,0.013984712,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,16,0.013973002,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,32,0.013979997,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,64,0.035995619,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,128,0.005287823,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,256,0.013967882,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,512,0.013993279,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,1024,0.026835371,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,2048,0.026504205,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,4096,0.026810874,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,8192,0.036076013,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,16384,0.02835543,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,32768,0.034326041,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,65536,0.084858596,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,131072,0.083947009,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,262144,0.146958989,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,524288,0.25525824,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,1048576,0.518964977,"Unid",SAIS,GPU,"Float32"
1,Unid,SAIS,Float32,2097152,1.097981781,"Unid",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,1,0.00220434,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,2,0.004616903,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,4,0.0091343,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,8,0.019108042,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,16,0.037521491,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,32,0.246872303,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,64,0.144187327,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,128,0.287284302,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,256,0.578685051,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,512,1.155446504,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,1024,2.309496167,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,2048,4.615313097,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,4096,9.264269798,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,8192,18.445644326,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,16384,36.920918772,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,32768,73.830491901,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,65536,147.770935943,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,131072,296.262001703,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,262144,591.437605919,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,524288,1188.437791763,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,1048576,2364.762054515,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,2097152,4729.835763925,"SimpleMixture",SAIS,CPU,"Float32"
4,SimpleMixture,SAIS,Float32,1,0.029985496,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,2,0.031965676,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,4,0.044004494,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,8,0.033983116,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,16,0.033977807,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,32,0.044983063,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,64,0.043974786,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,128,0.043987502,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,256,0.043980005,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,512,0.039990427,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,1024,0.043979836,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,2048,0.034979901,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,4096,0.045347257,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,8192,0.043195321,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,16384,0.042105517,"SimpleMixture",SAIS,GPU,"Float32"
4,SimpleMixture,SAIS,Float32,32768,0.058235111,"SimpleMixture",SAIS,GPU,"Float32"
